	District	State	total_confirmed	total_tested	PositivityRate
438	Shahjahanpur	Uttar Pradesh	142437.0	3060365.0	0.04654248757909596
439	Shajapur	Madhya Pradesh	44443.0	397635.0	0.1117683302526186
440	Shamli	Uttar Pradesh	90761.0	1726179.0	0.052579135767495726
441	Sheikhpura	Bihar	53742.0	996436.0	0.05393422156566001
442	Sheohar	Bihar	30689.0	1396017.0	0.021983256650886056
443	Sheopur	Madhya Pradesh	27986.0	220143.0	0.1271264587109288
444	Shi Yomi	Arunachal Pradesh	1210.0	15183.0	0.07969439504709214
445	Shimla	Himachal Pradesh	178571.0	230454.0	0.7748661338054449
446	Shivamogga	Karnataka	463203.0	341320.0	1.3570930505097856
447	Shivpuri	Madhya Pradesh	86717.0	330890.0	0.2620719876696183
448	Shrawasti	Uttar Pradesh	30681.0	1550962.0	0.019781915997941924
449	Siang	Arunachal Pradesh	2159.0	29890.0	0.07223151555704249
450	Siddharthnagar	Uttar Pradesh	65488.0	2065329.0	0.0317082653659538
451	Sidhi	Madhya Pradesh	64533.0	32620.0	1.9783261802575107
452	Sikar	Rajasthan	214118.0	1155294.0	0.1853363732521765
453	Sipahijala	Tripura	40579.0	371469.0	0.109239263572465
454	Sirmaur	Himachal Pradesh	107488.0	297948.0	0.36076093815028126
455	Sirohi	Rajasthan	96103.0	592312.0	0.1622506381771769
456	Sirsa	Haryana	204720.0	1051351.0	0.1947208876959265
457	Sitamarhi	Bihar	63908.0	3172589.0	0.02014380053640733
458	Sitapur	Uttar Pradesh	86719.0	2026311.0	0.04279649076573142
459	Sivaganga	Tamil Nadu	129592.0	180768.0	0.7168967958930784
460	Siwan	Bihar	106192.0	3755066.0	0.028279662727632483
461	Solan	Himachal Pradesh	156567.0	400400.0	0.3910264735264735
462	Solapur	Maharashtra	1273425.0	4404862.0	0.28909532239602515
463	Sonbhadra	Uttar Pradesh	117529.0	2143225.0	0.05483745290391816
464	Sonipat	Haryana	329746.0	1672741.0	0.19712914312496674
465	South Tripura	Tripura	61891.0	581210.0	0.10648646788596204
466	Sri Muktsar Sahib	Punjab	130894.0	475853.0	0.2750723437700298
467	Srikakulam	Andhra Pradesh	839890.0	4696293.0	0.1788410561266088
468	Sukma	Chhattisgarh	54777.0	12061.0	4.541663212005638
469	Sultanpur	Uttar Pradesh	104215.0	2165765.0	0.048119255782598756
470	Supaul	Bihar	120258.0	3195577.0	0.03763264036510464
471	Surajpur	Chhattisgarh	202673.0	12810.0	15.821467603434817
472	Surat	Gujarat	1003645.0	13567603.0	0.07397364147521121
473	Surendranagar	Gujarat	56821.0	1408071.0	0.040353788977970574
474	Surguja	Chhattisgarh	234874.0	725046.0	0.32394358426913605
475	Tapi	Gujarat	31037.0	647668.0	0.04792115713606354
